publisher_id,file_creation_date,sum(total_clicks)
VA-010,2024-05-10,220861
VA-010,2024-05-11,217302
VA-010,2024-05-12,204954
VA-010,2024-05-13,189722
VA-010,2024-05-14,184835
VA-010,2024-05-15,168999
VA-010,2024-05-16,155086
VA-010,2024-05-17,154875
VA-010,2024-05-18,153639
VA-010,2024-05-19,151091
VA-010,2024-05-20,40700
VA-235,2024-05-10,301884
VA-235,2024-05-11,160056
VA-235,2024-05-12,208094
VA-235,2024-05-13,353697
VA-235,2024-05-14,552194
VA-235,2024-05-15,346024
VA-235,2024-05-16,145155
VA-235,2024-05-17,150759
VA-235,2024-05-18,125298
VA-235,2024-05-19,22783
VA-235,2024-05-20,47188
VA-463,2024-05-10,180201
VA-463,2024-05-11,167459
VA-463,2024-05-12,168278
VA-463,2024-05-13,183135
VA-463,2024-05-14,188439
VA-463,2024-05-15,68471
VA-463,2024-05-16,72880
VA-463,2024-05-17,73240
VA-463,2024-05-18,79458
VA-463,2024-05-19,82544
VA-463,2024-05-20,68436
VA-496,2024-05-10,58807
VA-496,2024-05-11,146493
VA-496,2024-05-12,144585
VA-496,2024-05-13,124775
VA-496,2024-05-14,129041
VA-496,2024-05-15,123933
VA-496,2024-05-16,114371
VA-496,2024-05-17,220946
VA-496,2024-05-18,233542
VA-496,2024-05-19,257366
VA-496,2024-05-20,165113
VA-624,2024-05-13,947035
VA-624,2024-05-14,1118599
VA-624,2024-05-15,1117501
VA-624,2024-05-16,1093939
VA-624,2024-05-17,1139188
VA-624,2024-05-18,1116496
VA-624,2024-05-19,1120164
VA-624,2024-05-20,357044
